dBm:-50 dBm  Frequency:0.5 GHz Result = 2804-----[10, 244]
dBm:-50 dBm  Frequency:3 GHz Result = 2769-----[10, 209]
dBm:-50 dBm  Frequency:3 GHz Result = 2768-----[10, 208]
dBm:-50 dBm  Frequency:3 GHz Result = 2768-----[10, 208]
dBm:-50 dBm  Frequency:3 GHz Result = 2768-----[10, 208]
dBm:-50 dBm  Frequency:3 GHz Result = 2768-----[10, 208]
dBm:-50 dBm  Frequency:3 GHz Result = 2768-----[10, 208]
dBm:-50 dBm  Frequency:3 GHz Result = 2767-----[10, 207]
dBm:-50 dBm  Frequency:3 GHz Result = 2760-----[10, 200]
dBm:-50 dBm  Frequency:3 GHz Result = 2766-----[10, 206]
dBm:-50 dBm  Frequency:3 GHz Result = 2763-----[10, 203]
dBm:-50 dBm  Frequency:4 GHz Result = 2788-----[10, 228]
dBm:-50 dBm  Frequency:4 GHz Result = 2790-----[10, 230]
dBm:-50 dBm  Frequency:4 GHz Result = 2787-----[10, 227]
dBm:-50 dBm  Frequency:4 GHz Result = 2786-----[10, 226]
dBm:-50 dBm  Frequency:4 GHz Result = 2787-----[10, 227]
dBm:-50 dBm  Frequency:4 GHz Result = 2789-----[10, 229]
dBm:-50 dBm  Frequency:4 GHz Result = 2789-----[10, 229]
dBm:-50 dBm  Frequency:4 GHz Result = 2791-----[10, 231]
dBm:-50 dBm  Frequency:4 GHz Result = 2790-----[10, 230]
dBm:-50 dBm  Frequency:4 GHz Result = 2789-----[10, 229]
dBm:-50 dBm  Frequency:4 GHz Result = 2789-----[10, 229]
dBm:-50 dBm  Frequency:4 GHz Result = 2789-----[10, 229]
dBm:-50 dBm  Frequency:4 GHz Result = 2790-----[10, 230]
dBm:-50 dBm  Frequency:4 GHz Result = 2790-----[10, 230]
dBm:-50 dBm  Frequency:4 GHz Result = 2788-----[10, 228]
dBm:-50 dBm  Frequency:4 GHz Result = 2787-----[10, 227]
dBm:-50 dBm  Frequency:4 GHz Result = 2790-----[10, 230]
dBm:-50 dBm  Frequency:4 GHz Result = 2790-----[10, 230]
dBm:-50 dBm  Frequency:4 GHz Result = 2792-----[10, 232]
dBm:-50 dBm  Frequency:4 GHz Result = 2789-----[10, 229]
dBm:-50 dBm  Frequency:4 GHz Result = 2790-----[10, 230]
dBm:-50 dBm  Frequency:4 GHz Result = 2789-----[10, 229]
dBm:-50 dBm  Frequency:4 GHz Result = 2789-----[10, 229]
dBm:-50 dBm  Frequency:4 GHz Result = 2791-----[10, 231]
dBm:-50 dBm  Frequency:4 GHz Result = 2790-----[10, 230]
